,tweet_id
0,1250373508330332160
1,1243560911723347969
2,1240620688727257088
3,1240621811223560192
4,1267439966218530816
5,1267414856304558080
6,1263862223522476035
7,1252631711315197952
8,1250077753321222144
9,1252723096269869057
10,1237518373514141696
11,1263947485489356802
12,1254818434514288641
13,1263605626296508419
14,1270411106138247169
15,1260502544549281792
16,1255823345725190152
17,1271505719188172801
18,1242755494004944899
19,1262973332569247745
20,1252738863551983616
21,1264962965511344128
22,1245754731064111105
23,1252058403536621573
24,1252949165077925888
25,1239496978897256449
26,1241457263262470146
27,1252596172084121601
28,1258506904713572352
29,1271930234267242497
30,1247315421788848128
31,1249357021255630848
32,1249707952203804673
33,1249487637464875018
34,1253487131785379840
35,1253609846290685952
36,1260337802316787719
37,1266394649612050432
38,1266735289730584576
39,1241597796412784646
40,1249893524650127360
41,1257620752343478274
42,1264764415855013889
43,1253675821132218368
44,1264895524043395073
45,1258588720325898241
46,1258393648309235712
47,1253498074145656832
48,1262391071256072195
49,1250932143179599873
50,1263909779912581120
51,1268219797407272960
52,1237789274335932417
53,1264230471992578048
54,1263868369716953089
55,1250626045193134081
56,1271954688678731776
57,1271920814720462849
58,1270976560313651200
59,1257408551703711745
60,1268991514278981633
61,1270706750535151616
62,1237747239713308672
63,1262804232027033600
64,1253056905334882306
65,1252622902991544320
66,1244031750294196229
67,1271248818995109891
68,1263774383811842049
69,1265843370712162305
70,1270761392572755968
71,1271625881602187265
72,1271617729477390336
73,1253082838544658433
74,1241222809738719232
75,1241112396321742848
76,1271462026229907457
77,1250772989605490688
78,1258511944266297348
79,1269043521144729605
80,1265835064979578881
81,1258728042345779203
82,1248589043794948096
83,1264254899589722112
84,1270432893790126080
85,1264118876549394433
86,1264010929966067713
87,1251841707798343682
88,1255112690990813186
89,1258366073252073473
90,1255623403916034048
91,1246081285296013314
92,1252226369997672448
93,1240771466523746305
94,1270420889184751618
95,1265560875164823552
96,1270697950054879234
97,1260895132435517443
98,1240059150089977857
99,1251913095686975489
100,1250855661157658624
101,1249432131446509568
102,1253078708098924547
103,1250885676565958657
104,1266166489008287745
105,1262570975331340291
106,1248452066831257601
107,1248323055128137729
108,1251991779659956231
109,1263859042902032384
110,1263765339525038081
111,1263694200450756609
112,1263799989979033600
113,1255960514485579778
114,1266372996567977985
115,1268969266671423488
116,1253731956312772616
117,1251948062911590401
118,1247658030956716041
119,1250880711986417665
120,1247520150124769286
121,1237541400129880064
122,1258363453791764480
123,1244340633097121792
124,1240406329010855937
125,1248313998304403458
126,1266318366135861248
127,1264848682144477184
128,1270114446048989184
129,1257429752178237446
130,1242220919571058688
131,1253759057674088449
132,1255963033525944335
133,1239013659407454211
134,1258285656100548610
135,1250071554941169666
136,1249918953515778048
137,1254876099009564673
138,1258764062097367047
139,1248214877769994241
140,1270867898886742018
141,1258113074420051968
142,1252851106926833665
143,1249907805705863174
144,1237816952418185218
145,1247644217998016518
146,1271906961370386433
147,1252947656499884032
148,1254867806446694400
149,1267234977986613249
150,1267125093139873793
151,1267105969881985024
152,1253087782844731393
153,1269077368213327872
154,1253684881319739393
155,1267422541209128960
156,1248605932583440388
157,1234239312893444099
158,1240433217989115904
159,1250065053736472576
160,1253531662119559168
161,1242949444691202049
162,1248610179492368388
163,1271493362747535360
164,1234450883288559618
165,1263669663185043457
166,1242582360106733568
167,1267454362722467841
168,1249749461330362372
169,1263086840216555520
170,1271987689689145345
171,1271938000755265539
172,1253328165763600384
173,1271489467405045760
174,1263884430827012096
175,1262460988239917057
176,1234544015036624898
177,1267807433113698304
178,1262729846536503296
179,1238125095408803842
180,1258592672803102720
181,1263781524631179264
182,1267512877134442496
183,1248050812976279553
184,1271466099276734464
185,1271532915772534787
186,1253279952818049025
187,1253244720618311680
188,1265002016465719297
189,1250857598552870912
190,1250706747280355328
191,1265964688845742080
192,1251980787458600961
193,1272011123764744192
194,1258464998294204419
195,1230108619779084289
196,1242758010704990208
197,1263143232566747136
198,1263240475626008576
199,1253171740320174080
200,1271834866468954113
201,1258763865325662208
202,1263803656807362560
203,1237515365271420931
204,1247912495274233857
205,1269087570572574720
206,1240586128815804416
207,1240414818659696643
208,1263435221661356040
209,1263495507906879489
210,1252951204700839938
211,1252703933384065026
212,1252703105453522944
213,1252789485416230913
214,1240611761876762624
215,1267247729346035713
216,1253520303608733697
217,1253105802157494272
218,1263272556414394369
219,1258286601928613890
220,1252411368134684673
221,1240411482304765954
222,1242355468519051264
223,1242292554290196480
224,1265993740688125952
225,1263104889623740424
226,1253112659840507904
227,1253714197973733376
228,1262939861218197504
229,1254978645745111042
230,1257527943879778305
231,1253435284538249216
232,1244504630614036480
233,1267976805023023105
234,1266944636704092160
235,1249670305536045058
236,1271890980946317312
237,1260292825155088384
238,1260284516230406144
239,1250839021732986883
240,1252703488758423552
241,1248521096380338178
242,1248370170520899586
243,1248324391450140682
244,1248213265404039168
245,1248258949494824963
246,1245102780123152388
247,1258721486409535489
248,1263680989638750214
249,1239878031751036928
250,1250333770571382784
251,1264237666737897472
252,1271543746979602435
253,1268255401343979520
254,1245812257264734210
255,1268366281570504706
256,1239562388279607299
257,1269408898496282630
258,1269473125919608832
259,1269044088894099456
260,1262743486022905857
261,1253402689255415808
262,1267407804459089922
263,1253646003766325248
264,1235964761281462272
265,1265362805391327233
266,1253764675042373633
267,1266064332238008322
268,1234865659777028099
269,1253471901617475587
270,1249025574686855169
271,1270518577960009728
272,1263622989817319424
273,1271609591009357827
274,1253075612652187650
275,1229614021806043136
276,1229763793846226944
277,1262799291921432579
278,1247588810474618883
279,1260289938836336640
280,1234677246129922049
281,1266363445798043650
282,1265418067334529025
283,1263630883988418562
284,1244684074096025601
285,1249376778012983298
286,1271049602947584001
287,1265029015297024000
288,1263829519347200001
289,1263495590643728385
290,1259648537492676612
291,1263832425236508672
292,1265243806368256000
293,1246162806308851716
294,1264671449610170375
295,1270810634515632129
296,1264735395155230722
297,1264660126524465156
298,1267061696251801600
299,1267058232620711936
300,1269920907243458560
301,1269755151214161922
302,1269813666590986245
303,1244494009856331776
304,1240552580524265472
305,1265369787414261760
306,1248001596052602880
307,1267902256344686596
308,1267777970858582020
309,1267637057381453826
310,1267483888349315073
311,1264911097154371584
312,1245242135428902912
313,1245299110510571520
314,1244050165603893249
315,1240812179261177857
316,1243667457941950465
317,1242171974027292677
318,1229937669335113728
319,1271526370368196610
320,1271521322263359489
321,1247209956299825153
322,1233393687285026816
323,1271455356103700480
324,1252354991416729600
325,1240692724992364545
326,1240620635623239687
327,1244064882930192384
328,1244045601555218432
329,1244047185609621506
330,1229996303049822208
331,1266467931740921859
332,1266304554263384064
333,1266202603307712513
334,1266338104299880451
335,1266091867470467078
336,1240688871265857536
337,1253333392441044993
338,1253177657686196224
339,1271123167721820162
340,1252021279470882823
341,1237615404090109953
342,1230530410028859393
343,1252381799587561480
344,1258413781274804227
345,1258313118016552961
346,1251755172910362624
347,1268382984421249025
348,1245157927540883463
349,1243660457501745158
350,1271635856814727173
351,1270679905739685894
352,1255670586430427138
353,1252927875323437057
354,1252834911544729603
355,1251905978225823744
356,1242128976249638912
357,1266944642416705538
